id,text
0,Just happened a terrible car crash
2,"Heard about #earthquake is different cities, stay safe everyone."
3,"there is a forest fire at spot pond, geese are fleeing across the street, I cannot save them all"
9,Apocalypse lighting. #Spokane #wildfires
11,Typhoon Soudelor kills 28 in China and Taiwan
12,We're shaking...It's an earthquake
21,"They'd probably still show more life than Arsenal did yesterday, eh? EH?"
22,Hey! How are you?
27,What a nice hat?
29,Fuck off!
30,No I don't like cold!
35,NOOOOOOOOO! Don't do that!
42,No don't tell me that!
43,What if?!
45,Awesome!
46,Birmingham Wholesale Market is ablaze BBC News - Fire breaks out at Birmingham's Wholesale Market http://t.co/irWqCEZWEU
47,@sunkxssedharry will you wear shorts for race ablaze ?
51,#PreviouslyOnDoyinTv: Toke Makinwa™?š?™?s marriage crisis sets Nigerian Twitter ablaze... http://t.co/CMghxBa2XI
58,Check these out: http://t.co/rOI2NSmEJJ http://t.co/3Tj8ZjiN21 http://t.co/YDUiXEfIpE http://t.co/LxTjc87KLS #nsfw
60,"PSA: I™?š?™?m splitting my personalities.

?? techies follow @ablaze_co
?? Burners follow @ablaze"
69,beware world ablaze sierra leone &amp; guap.
70,Burning Man Ablaze! by Turban Diva http://t.co/hodWosAmWS via @Etsy
72,Not a diss song. People will take 1 thing and run with it. Smh it's an eye opener though. He is about 2 set the game ablaze @CyhiThePrynce
75,Rape victim dies as she sets herself ablaze: A 16-year-old girl died of burn injuries as she set herself ablaze™?š?_ http://t.co/UK8hNrbOob
84,SETTING MYSELF ABLAZE http://t.co/6vMe7P5XhC
87,@CTVToronto the bins in front of the field by my house wer set ablaze the other day flames went rite up the hydro pole wonder if it was him
88,#nowplaying Alfons - Ablaze 2015 on Puls Radio #pulsradio http://t.co/aA5BJgWfDv
90,'Burning Rahm': Let's hope City Hall builds a giant wooden mayoral effigy 100 feet tall &amp; sets it ablaze. http://t.co/kFo2mksn6Y @John_Kass
94,@PhilippaEilhart @DhuBlath hurt but her eyes ablaze with insulted anger.
99,Accident cleared in #PaTurnpike on PATP EB between PA-18 and Cranberry slow back to #traffic http://t.co/SL0Oqn0Vyr
101,Just got to love burning your self on a damn curling wand... I swear someone needs to take it away from me cuase I'm just accident prone.
103,I hate badging shit in accident
106,#3: Car Recorder ZeroEdgeš?™? Dual-lens Car Camera Vehicle Traffic/Driving History/Accident Camcorder  Large Re... http://t.co/kKFaSJv6Cj
108,Coincidence Or #Curse? Still #Unresolved Secrets From Past http://t.co/7VG8Df9pLE #accident
111,@Traffic_SouthE @roadpol_east Accident on A27 near Lewes is it Kingston Roundabout rather than A283
115,@sakuma_en If you pretend to feel a certain way the feeling can become genuine all by accident. -Hei (Darker than Black) #manga #anime
116,For Legal and Medical Referral Service @1800_Injured Call us at: 1-800-465-87332 #accident #slipandfall #dogbite
122,There's a construction guy working on the Disney store and he has huge gauges in his ears ?? ...that is a bloody accident waiting to happen
123,@RobynJilllian @WlSDOMTEETHS I feel like I'm going to do it on accident. Teesha is gonna come out??
124,On the #M42 northbound between junctions J3 and J3A there are currently delays of 10 mins due to an accident c... http://t.co/LwI3prBa31
125,@DaveOshry @Soembie So if I say that I met her by accident this week- would you be super jelly Dave? :p
127,ACCIDENT - HIT AND RUN - COLD at 500 BLOCK OF SE VISTA TER GRESHAM OR [Gresham Police #PG15000044357] 10:35 #pdx911
140,@Calum5SOS this happened on accident but I like it http://t.co/QHmXuljSX9
142,Please donate and spread the word! A training accident left the pole-vaulter Kira Grš?_nberg a paraplegic http://t.co/6MpnyCl8PK
147,Please like and share our new page for our Indoor Trampoline Park Aftershock opening this fall!! http://t.co/UgXhHErrxS
148,@bxckylynch foi no ROH Aftershock: Las Vegas procura no pirate bay que tem
150,"Schoolboy ™?š?š? Aftershock (Original Mix)
Excision &amp; Skism ™?š?š? SEXisM (Far Too Loud Remix)
Firebeatz Schella ™?š?š? Dear New... http://t.co/JQLzUA6YzQ"
152,320 [IR] ICEMOON [AFTERSHOCK] | http://t.co/THyzOMVWU0 | @djicemoon | #Dubstep #TrapMusic #DnB #EDM #Dance #Ices™?š?_ http://t.co/83jOO0xk29
154,'When the aftershock happened (Nepal) we were the last int'l team still there; in a way we were 1st responders.' Chief Collins @LACo_FD
155,320 [IR] ICEMOON [AFTERSHOCK] | http://t.co/gRPeF7yAWG | @djicemoon | #Dubstep #TrapMusic #DnB #EDM #Dance #Ices™?š?_ http://t.co/GGmvzT58vE
166,Stop saying 'I Wish' and start saying 'I Will'. ™?š?š? Unknown
167,I want to go to Aftershock in October because it has all the bands I listen to and #NXT! Can't afford it yet though. #gradschoolapps
169,'We are still living in the aftershock of Hiroshima people are still the scars of history.' - Edward Bond http://t.co/engTl5wrGp
177,320 [IR] ICEMOON [AFTERSHOCK] | http://t.co/THyzOMVWU0 | @djicemoon | #Dubstep #TrapMusic #DnB #EDM #Dance #Ices™?š?_ http://t.co/83jOO0xk29
179,Aftershock https://t.co/Ecy4U623nO
181,'There is no victory at bargain basement prices.' Dwight David Eisenhower
186,Bo2 had by far the best competitive maps imo hope bo3 is the same #InVahnWeTrust
188,Brass and Copper in Cataclysm &amp; AfterShock!!! http://t.co/uxYZyaygTy
