id,text
7269,Check out 'NOVA | Nuclear Meltdown Disaster' http://t.co/ZzxM74d7qV #PBS
7271,Rare photographs show the nightmare aftermath of #Hiroshima | #NoNukes #Amerikkka #WhiteTerrorism #Nuclear #Disaster  http://t.co/8tWLAKdaBf
7273,3 former executives to be prosecuted in Fukushima nuclear disaster http://t.co/EmWU8Xksdu
7276,Fukushima Watch - Fukushima Watch Nuclear Disaster: Welcome. Welcome To Fukushima Watch offering t... http://t.co/M0KJdlwKFB #fukushima
7279,30 Years After the Chernobyl Nuclear Disaster via @fubiz http://t.co/N4B59iqm94
7282,"Safety by #Nuclear regulatory committee of Japan is already weakened by Authoritarian that caused Nuclear disaster
@nytimes @guardian @WDR"
7284,The people who tweet and care about #Japan #Fukushima nuclear disaster are not the problem those who ignore are the problem.
7293,@Lacci Yes it's a disaster. To shut down all nuclear power plants would be to reverse ALL the gains from renewables so far.
7298,Nuclear-Deal: Indo-Japan pact lies at the heart of two US reactor-based projects: If Japan were to go ahead an... http://t.co/mvwdm9ZbcV
7303,SEALED The Nuclear Regulatory Commission Reactor 1980 Record New Wave Art Rock http://t.co/FS9w33aczP http://t.co/7sywMf0EQU
7304,"Nuclear-Deal: Indo-Japan pact lies at the heart of two US reactor-based projects - The Indian Express 

Read more... http://t.co/FMxmNNRDFe"
7305,US Navy Sidelines 3 Newest Subs http://t.co/qmAFzALxpL
7308,@MaximEristavi Meanwhile in Finland: Nuclear project with Russian Rosatom moves on http://t.co/ogkoeFvzrj
7313,Finnish ministers: Fennovoima nuclear reactor will go ahead http://t.co/rcLgI3tWAi
7314,#NuclearPower Global Nuclear Reactor Construction Market grew 4.5% between 2013 and 2014: ™?š?_ Nuclear Reactor Co...  http://t.co/BXPjjeQDrG
7321,ThorCon: A Thorium Molten Salt Reactor System that can be built Now https://t.co/K90M1qoE9q #thorium #Auspol #climate #nuclearrcSA #nuclear
7322,Steam pipe problems sideline US #Navy's 3 newest #submarines. #breaking news. My story at http://t.co/L8QFRdwBPg http://t.co/JrzjtqjSi7
7327,Navy sidelines three newest submarines pending steam plant inspections @defense_news writes: http://t.co/zTm4KPkLUn
7333,they're gonna fucking steal a nuclear fission reactor
7336,Finnish Nuclear Plant to Move Ahead After Financing Secured http://t.co/S9Jhcf3lD7 @JukkaOksaharju @ollirehn @juhasipila
7339,@AlbertBrooks Don't like the Ayatollah Khomeini Memorial Nuclear Reactor for the Annihilation of Israel? Racist!
7341,"http://t.co/N6Semm2M6i

SAN ONOFRE NUCLEAR REACTOR WASTE TO BE BURIED UNDER SHORELINE USING 3 BILLION IN TAX PAYER DOLLARS"
7346,@TrinityFox_ he would obliterate anyone who gets in the way of sleep
7347,Watch Sarah Palin OBLITERATE Planned Parenthood For Targeting Minority Women! ™?š?š? BB4SP http://t.co/JWfAAu1my5
7349,It is insanity to call Climate Change more dangerous than Muslims wanting to obliterate America and Israel.  https://t.co/aA6S66huXh
7351,@RondaRousey Though I am certain that you would obliterate me fighting you would be pretty cool
7353,@BattyAfterDawn @DrawLiomDraw he's a good cute.  The kind of cute I want to obliterate.
7363,Watch local act Nathaniel Rateliff &amp; the Night Sweats obliterate the #JimmyFallon show! Link: http://t.co/pHbt1nWNZT http://t.co/v1yH353emJ
7364,@MilesWithTate but seeing the writers obliterate their characters will piss me off. So it's bad either way
7368,This is progress? Weaponry to obliterate every trace of natural life? This is absolute total lunacy. #Hiroshima http://t.co/tBhiSukfvn
7370,@PauloSergioMDC @TheIranDeal @POTUS Those silly talks trusting a terrorist nation (who hates us) that has vowed to obliterate Israel.
7375,mirajane as satan soul could obliterate me and step on my ashes any day
7376,@lionofjudah1948 @AmericanJewry The Nazis pursued their ambitions to obliterate a religion in Europe #Israel is trying to do the same
7379,@itsTiimothy bhill bruh you can obliterate beez
7382,Will Trump obliterate opponents as quick as Rousey?
7384,I'd love to see a nigga try and diss the King haha he would OBLITERATE THEM. With no struggle! https://t.co/cwn2gT0r5p
7385,Im going to obliterate my lil bro in 2k15 either with the Cavaliers or 70-71 Lakers
7387,(rubs lamp greets genie) just need the 1 wish thanks. pls obliterate anyone who has used the hashtag #youcantsitwithus
7388,#dating Absolute Approaching: Unique 21-day course program to obliterate approach anxiety to get more dates. http://t.co/F6ZEiykZRL
7389,@Wadeycakes @ThunderCastTV you're right Thunder would obliterate you #HEYOOO
7394,@ohnoeunhae Hyukkie &amp; Chullie aim to completely obliterate the ship that was Eunhae.
7396,@KoscielnyFC Gabriel obliterated his fibula
7398,@Its2015America King O has obliterated the Constitution
7399,#interracial #sex #porn http://t.co/Kjh99CzHFe Derek Skeeter hasn™?š?™?t obliterated a white girl on camera in about 2 years. Upon hearing thi™?š?_
7401,@AllOutAsh23_sN Heard you got obliterated and also that your brother/boyfriend ran out of the building crying last night. LOL. 'MD/VA!!!!'
7404,Roquey and obliterated toy mollusk https://t.co/1qnRBXFr2v
7406,Mad kids and innocent people who had nothing to do with the war got obliterated smh
7409,@dinnerwithjulie because its been obliterated?
7411,Shout out to fishtails your .75 cent natty light cans are going to be obliterated by yours truly
7417,This Davies is why you don't play FM tired. Obliterated my budget http://t.co/CZ65rUoGXB
7420,you haven't ruined my day you've obliterated it into a million pieces and spit on it https://t.co/2B57rE5mzN
7422,the 301+ feature on YouTube has been obliterated and I love it.
7423,Took'em long enough. Good that they're making some amends though this has still obliterated their reputation. https://t.co/1g9s3KeASL
7427,@LeonC1963 @RomanGaul @Makrina91 Never realised how many conventional bombs the Yanks dropped on Japan prior 2 Nuks. They obliterated cities
7429,Disgusting! Drunk Meals 101: What To Cook When You're Totally Obliterated - http://t.co/CYa5jBWgge
7432,mentions gotta be obliterated  https://t.co/3iDFkZfXI9
7435,way the Endurance wouldn't get obliterated the second it exited that wormhole. It would have probably been destroyed before hell Saturn
7436,Remembering #Hiroshima 70 years on. Hundreds of thousands of lives obliterated 70 years of pain devastating... http://t.co/cZpJVJgXRp
7440,The day Hiroshima through the eyes of the bomber crew and survivors http://t.co/AYEWJ8marn via @MailOnline
7441,Drake has absolutely obliterated meek mill ????????
7445,Why did God order obliteration of ancient Canaanites? | Bible scholars say dire warnings lie hidden in ancient text http://t.co/waC5K25gBC
7448,Why Did God Order Obliteration of Ancient Canaanites? -Bible Scholars Say Dire Warnings for America Lie™?š?_ http://t.co/3eSqlK8xy1 #NEWS
7449,'I must not fear. Fear is the mind-killer. Fear is the little-death that brings total obliteration... http://t.co/oERI3uWnRY
7450,Need a conquest server on CTE they're all Russian Squad Obliteration servers at the moment. Lame. But only 105 ping on Russian server. ??
7454,The schematization to Maintain Facts Dependable By virtue of Obliteration...XMwTE
7455,#InsaneLimits #plugin enabled  @'[XL] #1 Obliteration - xl-games.ru' using 8 limits
7460,Does Renovation Mean Obliteration? http://t.co/nntkiy7AXV #entrepreneur #management #leadership #smallbiz #startup #business
7462,'I must not fear/Fear is the mindkiller/Fear is the little-death that brings total obliteration/I will face my fear' #Dune #BlacklivesMatter
7464,@bradohearne Admin is the little death that brings total obliteration.
7466,Why did God order obliteration of ancient Canaanites? - http://t.co/yFN5yWkeye http://t.co/ozX5PmnQ6K
7468,"@bcwilliams92 We do need to overturn SCOTUS ruling that Congress can't mess with
POTUS. Obliteration of Constitution Will Continue."
7469,"????
Why did God order obliteration of ancient Canaanites? http://t.co/piUO0azRoQ"
7471,[Chaos dancing in the streets | Why did God order obliteration of ancient Canaanites?] http://t.co/P7DLX1wFmC via @Michael_0000
7472,"Short story about indifference oppression hatred anger hope inspiration revolution retaliation and obliteration.  

'Fuck Them'"
7483,Why did God order obliteration of ancient Canaanites? http://t.co/8GqceARCaI via @worldnetdaily
7484,Why did God order obliteration of ancient Canaanites? http://t.co/3JdlEhxZ2V via @worldnetdaily
7485,@KDonhoops Sure! Meek Mill accused Drake of not writing his own raps. Drake responds w/ obliteration of Meek's career. #OldFolkExplainStuff
7486,"AMAZING ANCIENT TEXT RENDERINGS!
-------
Carl Gallups Dr. Michael Brown and Mark Biltz weigh in on this... http://t.co/sifF4ITJZ0"
7487,@Jethro_Harrup How many Hangarback Walkers does your opponent need to have before you board in Infinite Obliteration?
7489,Here we are 70 years after the nuclear obliteration of Hiroshima and Nagasaki and I™?š?™?m wondering i™?š?_ http://t.co/fvkekft4Rs
7492,This beautifully rapturous facade that we've poured life into has itself given birth to a deplorable fate our total obliteration.
7495,Refugio oil spill may have been costlier bigger than projected: A Plains All American Pipeline™?š?_ http://t.co/sryaFqj9gZ #globetrottingwino
7499,Refugio oil spill may have been costlier bigger than projected - http://t.co/6aUOT9vaIS  http://t.co/j2SyewbHE2
7500,#breaking #LA Refugio oil spill may have been costlier bigger than projected http://t.co/5ueCmcv2Pk
7506,National Briefing | West: California: Spring Oil Spill Estimate Grows: Documents released on Wednesday disclos... http://t.co/PsYWDxCCmj
7508,Got the gas and the splash like an oil spill.
7509,PODCAST: Oil spill anniversary http://t.co/wVdAVXTDaq
7511,'California: Spring Oil Spill Estimate Grows ' by THE ASSOCIATED PRESS via NYT http://t.co/gPKkHhBRIy
7516,Refugio oil spill may have been costlier bigger than projected: A Plains All American Pipeline oil spill... http://t.co/lCQFI3LMAf #MLB
7524,When the Government couldn't figure out how to plug the Gulf oil spill so Chuck Norris plugged it...with his fist.
7538,"NSW - BANKSTOWN Stacey St at Wattle St
HAZARD Oil spill
Started today 11:38am last checked today 11:54am
Impact:... http://t.co/5ze5Z6BjLi"
7539,Refugio oil spill may have been costlier bigger than projected http://t.co/d7FdCLU404
7541,'California: Spring Oil Spill Estimate Grows ' by THE ASSOCIATED PRESS via NYT http://t.co/kUiecEtK2z
7546,Families to sue over Legionnaires - More than 40 families affected by the fatal outbreak of Legionnaires' disease ... http://t.co/urbl692Syj
7549,Families to sue over Legionnaires: More than 40 families affected by the fatal outbreak of Legionnaires' disea... http://t.co/yfsD4xS7lc
7562,Families to sue over Legionnaires: More than 40 families affected by the fatal outbreak of Legionnaires' disea... http://t.co/z16jNX3LQe
7564,Legionnaires' Disease: What's Being Done to Stop Deadly Outbreak http://t.co/Ud96b7ThsV
7567,Mumps outbreak at University of Illinois grows http://t.co/7xYkuJylX0 #SEBEE
7572,Families to sue over Legionnaires: More than 40 families affected by the fatal outbreak of Legionnaires' disea... http://t.co/A6xRnI8XHg
7574,Families to sue over Legionnaires: More than 40 families affected by the fatal outbreak of Legionnaires' disea... http://t.co/RJEN6iMWPI
7575,Families to sue over Legionnaires: More than 40 families affected by the fatal outbreak of Legionnaires' disea... http://t.co/boZfh1M3wb
7586,Families to sue over Legionnaires: More than 40 families affected by the fatal outbreak of Legionnaires' disea... http://t.co/6oPYSf87K2
7592,More than 40 families affected by the fatal outbreak of Legionnaires' disease in Edinburgh are™?š?_ http://t.co/XpvKqME5Ls
7596,Pandemonium In Aba As Woman Delivers Baby Without Face (Photos) http://t.co/s9fJTsGbmd
7597,What scenes at Trent Bridge England could win the #Ashes today at this rate! #Pandemonium
7599,@misslyndaleigh The Original Lust  Angel her self Miss Leigh swooping down to cause mayhem &amp; pandemonium x http://t.co/BAnve2Xw4n
7606,This time next week there will be absolute pandemonium in several homes around Westmeath with some carefully... http://t.co/nwfNxs4rIE
7615,Pandemonium In Aba As Woman Delivers Baby Without Faceš?š?(Photos) http://t.co/BUKDVKuRTw
7618,Welcome to http://t.co/4XsCjtvmmM: Pandemonium In Aba As Woman Delivers Baby  Without... http://t.co/2tTsTvbgIx
7620,On the Christie Hillside: Game 4 - Pandemonium at the Pits http://t.co/sRCKaWAndm @IBLMapleLeafs @IBL1919 http://t.co/dtImtSQu7z
